block_start,block_end,average_distance
1,3,0.31679150390625
2,4,0.242031494140625
3,5,0.244986328125
4,6,0.2475087890625
5,7,0.239943115234375
6,8,0.2309921875
7,9,0.221759765625
8,10,0.210211669921875
9,11,0.20414990234375
10,12,0.197160400390625
11,13,0.18820068359375
12,14,0.1870390625
13,15,0.186892822265625
14,16,0.18207861328125
15,17,0.190153564453125
16,18,0.189889892578125
17,19,0.172525390625
18,20,0.16150048828125
19,21,0.1558590087890625
20,22,0.1484451904296875
21,23,0.1389613037109375
22,24,0.1330107421875
23,25,0.1249896240234375
24,26,0.12062646484375
25,27,0.1167637939453125
26,28,0.118798583984375
27,29,0.1213701171875
28,30,0.1273040771484375
29,31,0.1456717529296875
30,32,0.317843505859375
