block_start,block_end,average_distance
1,9,0.4109150390625
2,10,0.39364208984375
3,11,0.380169921875
4,12,0.37236083984375
5,13,0.36004052734375
6,14,0.35356201171875
7,15,0.339158203125
8,16,0.332775390625
9,17,0.32413671875
10,18,0.3263037109375
11,19,0.32379248046875
12,20,0.32989306640625
13,21,0.33509130859375
14,22,0.3366259765625
15,23,0.33204052734375
16,24,0.3250712890625
17,25,0.31380615234375
18,26,0.30480517578125
19,27,0.291728515625
20,28,0.276363037109375
21,29,0.274074951171875
22,30,0.27669580078125
23,31,0.28815087890625
24,32,0.322892578125
