block_start,block_end,average_distance
1,5,0.270466796875
2,6,0.234924072265625
3,7,0.2309970703125
4,8,0.223694580078125
5,9,0.21849853515625
6,10,0.2062080078125
7,11,0.18732373046875
8,12,0.166001220703125
9,13,0.16020458984375
10,14,0.15506201171875
11,15,0.162818603515625
12,16,0.178727783203125
13,17,0.1894677734375
14,18,0.19635009765625
15,19,0.19536474609375
16,20,0.196623779296875
17,21,0.20159814453125
18,22,0.208096435546875
19,23,0.218548583984375
20,24,0.42106005859375
