block_start,block_end,average_distance
1,9,0.29121875
2,10,0.28240478515625
3,11,0.273095458984375
4,12,0.256948486328125
5,13,0.251025634765625
6,14,0.235500732421875
7,15,0.216299560546875
8,16,0.203797607421875
9,17,0.19387548828125
10,18,0.190722412109375
11,19,0.1912900390625
12,20,0.19256591796875
13,21,0.20329443359375
14,22,0.215563232421875
15,23,0.228044677734375
16,24,0.238202880859375
17,25,0.248642578125
18,26,0.2616171875
19,27,0.26747265625
20,28,0.42800341796875
