block_start,block_end,average_distance
1,9,0.280450439453125
2,10,0.27919677734375
3,11,0.2817305297851562
4,12,0.2891163330078125
5,13,0.28851025390625
6,14,0.2784327392578125
7,15,0.2726336669921875
8,16,0.26562493896484374
9,17,0.26019512939453127
10,18,0.25622149658203125
11,19,0.24819647216796875
12,20,0.23367266845703125
13,21,0.217321533203125
14,22,0.20356329345703125
15,23,0.1901729736328125
16,24,0.17980450439453124
17,25,0.17521142578125
18,26,0.180376708984375
19,27,0.18316241455078125
20,28,0.20137432861328125
21,29,0.208998779296875
22,30,0.218366455078125
23,31,0.23575909423828126
24,32,0.2476068115234375
25,33,0.25890460205078125
26,34,0.2767960205078125
27,35,0.27495611572265627
28,36,0.436006103515625
