block_start,block_end,average_distance
1,2,0.139738525390625
2,3,0.0880216064453125
3,4,0.0877376708984375
4,5,0.1048973388671875
5,6,0.10480029296875
6,7,0.112031494140625
7,8,0.1259693603515625
8,9,0.1160142822265625
9,10,0.1158621826171875
10,11,0.126775634765625
11,12,0.141693603515625
12,13,0.1437554931640625
13,14,0.1278717041015625
14,15,0.1284747314453125
15,16,0.1127064208984375
16,17,0.099235107421875
17,18,0.0872008056640625
18,19,0.088916748046875
19,20,0.080217041015625
20,21,0.0817838134765625
21,22,0.07232794189453125
22,23,0.0749071044921875
23,24,0.0800496826171875
24,25,0.0831920166015625
25,26,0.085080322265625
26,27,0.093080810546875
27,28,0.108666259765625
28,29,0.097583984375
29,30,0.093860107421875
30,31,0.1089814453125
31,32,0.1068701171875
32,33,0.09042169189453125
33,34,0.103322021484375
34,35,0.0840166015625
35,36,0.344494140625
