layer,average_distance
2,0.155614013671875
3,0.138599609375
4,0.135637939453125
5,0.132151123046875
6,0.1188480224609375
7,0.15013232421875
8,0.159045654296875
9,0.1394207763671875
10,0.160591064453125
11,0.1402198486328125
12,0.1147513427734375
13,0.1072620849609375
14,0.1098709716796875
15,0.1005321044921875
16,0.096157958984375
17,0.0819998779296875
18,0.08727392578125
19,0.1032357177734375
20,0.118927734375
21,0.1091959228515625
22,0.1201549072265625
23,0.121947998046875
24,0.121766357421875
25,0.112201416015625
26,0.104896240234375
27,0.1160975341796875
28,0.4024091796875
