block_start,block_end,average_distance
1,9,0.33615625
2,10,0.3269208984375
3,11,0.31488427734375
4,12,0.31356298828125
5,13,0.3019453125
6,14,0.29029638671875
7,15,0.27444287109375
8,16,0.259894775390625
9,17,0.255657470703125
10,18,0.253142822265625
11,19,0.234688720703125
12,20,0.23865869140625
13,21,0.243191650390625
14,22,0.250507080078125
15,23,0.26994482421875
16,24,0.28374072265625
17,25,0.30027880859375
18,26,0.31423876953125
19,27,0.318615234375
20,28,0.45697314453125
