block_start,block_end,average_distance
1,3,0.233670654296875
2,4,0.24437451171875
3,5,0.225581787109375
4,6,0.214330078125
5,7,0.220141845703125
6,8,0.242925048828125
7,9,0.228167236328125
8,10,0.232108642578125
9,11,0.218299072265625
10,12,0.2043251953125
11,13,0.205834228515625
12,14,0.210738525390625
13,15,0.20780615234375
14,16,0.20301806640625
15,17,0.21483251953125
16,18,0.207318359375
17,19,0.194764892578125
18,20,0.203358154296875
19,21,0.223859619140625
20,22,0.28402783203125
