block_start,block_end,average_distance
1,9,0.41933203125
2,10,0.37296533203125
3,11,0.36506640625
4,12,0.35545751953125
5,13,0.34064892578125
6,14,0.32934814453125
7,15,0.323057373046875
8,16,0.31477685546875
9,17,0.318068603515625
10,18,0.321107421875
11,19,0.319257568359375
12,20,0.31861474609375
13,21,0.319231689453125
14,22,0.311820556640625
15,23,0.307203369140625
16,24,0.298194580078125
17,25,0.28197998046875
18,26,0.270522216796875
19,27,0.263861328125
20,28,0.256108642578125
21,29,0.25121923828125
22,30,0.253365966796875
23,31,0.26218701171875
24,32,0.3684716796875
